id,price,property_type,subproperty_type,region,province,locality,zip_code,latitude,longitude,construction_year,total_area_sqm,surface_land_sqm,nbr_frontages,nbr_bedrooms,equipped_kitchen,fl_furnished,fl_open_fire,fl_terrace,terrace_sqm,fl_garden,garden_sqm,fl_swimming_pool,fl_floodzone,state_building,primary_energy_consumption_sqm,epc,heating_type,fl_double_glazing,cadastral_income
17302000,250000,HOUSE,HOUSE,Wallonia,Liège,Huy,4190,50.4434493,5.6019061,,,0,,4,MISSING,0,0,0,0,0,0,0,1,GOOD,615,G,ELECTRIC,1,674
12494000,209000,HOUSE,HOUSE,Flanders,Flemish Brabant,Halle-Vilvoorde,1742,50.8731213,4.1560514,1918,118,50,2,1,MISSING,0,0,0,0,0,0,0,0,GOOD,360,D,GAS,1,369
71969000,199000,HOUSE,HOUSE,Wallonia,Hainaut,Soignies,7060,,,,160,360,2,5,MISSING,0,0,1,,0,0,0,1,GOOD,294,D,MISSING,0,
44992000,249550,APARTMENT,APARTMENT,Flanders,West Flanders,Diksmuide,8600,51.0332165,2.868563,2022,91,,4,2,MISSING,0,0,1,9,0,0,0,1,GOOD,,MISSING,GAS,1,1
61823000,359000,HOUSE,HOUSE,Flanders,Flemish Brabant,Leuven,3300,50.8056299,4.9342761,1950,191,198,2,3,HYPER_EQUIPPED,0,1,1,15,1,50,0,1,JUST_RENOVATED,197,B,GAS,1,647
31733000,319000,HOUSE,HOUSE,Wallonia,Hainaut,Tournai,7500,,,,203,123,2,4,INSTALLED,0,1,1,5,1,40,0,0,GOOD,113,B,GAS,1,745
65990000,860000,HOUSE,HOUSE,Flanders,West Flanders,Brugge,8300,51.3390626,3.3011167,1963,166,0,,3,MISSING,0,0,0,0,1,,0,0,GOOD,183,B,MISSING,0,1215
4628000,625000,HOUSE,VILLA,Flanders,Flemish Brabant,Halle-Vilvoorde,1630,,,1963,241,1350,4,3,HYPER_EQUIPPED,0,1,1,22,1,200,0,0,TO_RENOVATE,824,F,GAS,1,2317
48650000,995000,APARTMENT,PENTHOUSE,Flanders,West Flanders,Brugge,8300,,,,96,,,3,MISSING,0,0,1,,0,0,0,0,GOOD,170,B,GAS,1,1026
3039000,249000,HOUSE,HOUSE,Flanders,Antwerp,Mechelen,2800,51.0326857,4.494605,,110,120,2,2,INSTALLED,0,0,1,,0,0,0,0,GOOD,452,E,GAS,1,
