,id_x,price,property_type,subproperty_type,region,province,locality,zip_code,latitude,longitude,construction_year,total_area_sqm,surface_land_sqm,nbr_frontages,nbr_bedrooms,equipped_kitchen,fl_furnished,fl_open_fire,fl_terrace,terrace_sqm,fl_garden,garden_sqm,fl_swimming_pool,fl_floodzone,state_building,primary_energy_consumption_sqm,epc,heating_type,fl_double_glazing,cadastral_income,id_y,_merge
60743,38436000,470000.0,APARTMENT,APARTMENT,Wallonia,Namur,Namur,5310,,,2023.0,95.0,,,2.0,MISSING,0,0,1,30.0,0,0.0,0,1,MISSING,,MISSING,GAS,0,,,left_only
60773,2742000,470000.0,HOUSE,HOUSE,Flanders,Antwerp,Antwerp,2630,51.144684,4.3883079,1972.0,227.0,356.0,3.0,5.0,HYPER_EQUIPPED,0,0,1,12.0,1,150.0,0,1,MISSING,364.0,D,GAS,0,1336.0,,left_only
60820,18786000,470000.0,HOUSE,HOUSE,Wallonia,Namur,Dinant,5580,50.1160556,5.2463299,2000.0,185.0,3625.0,4.0,4.0,INSTALLED,0,0,1,100.0,1,3625.0,0,0,AS_NEW,194.0,C,FUELOIL,1,,,left_only
60845,8802000,470000.0,HOUSE,VILLA,Wallonia,Liège,Liège,4120,50.544064,5.4800414,1968.0,210.0,1400.0,3.0,4.0,INSTALLED,0,1,0,0.0,1,1200.0,0,0,MISSING,,F,FUELOIL,1,2200.0,,left_only
60867,37625000,471000.0,HOUSE,HOUSE,Flanders,Flemish Brabant,Halle-Vilvoorde,1700,50.8822959,4.218901,2023.0,151.0,301.0,,3.0,MISSING,0,0,0,0.0,1,200.0,0,0,GOOD,0.0,A,MISSING,0,,,left_only
60881,52687000,471500.0,APARTMENT,APARTMENT,Flanders,West Flanders,Kortrijk,8500,50.831603,3.2646721,,104.0,,4.0,2.0,HYPER_EQUIPPED,0,0,1,10.0,0,0.0,0,0,GOOD,,MISSING,MISSING,0,,,left_only
60888,45025000,472000.0,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1000,,,2023.0,109.0,,2.0,2.0,USA_HYPER_EQUIPPED,0,0,1,10.0,0,0.0,0,0,AS_NEW,,MISSING,GAS,1,,,left_only
60913,78212000,472500.0,APARTMENT,APARTMENT,Flanders,Flemish Brabant,Leuven,3053,50.8339792,4.7290598,2024.0,,,3.0,2.0,HYPER_EQUIPPED,0,1,1,10.0,0,0.0,0,1,MISSING,,MISSING,MISSING,1,,,left_only
60916,15175000,472500.0,APARTMENT,PENTHOUSE,Flanders,Antwerp,Antwerp,2390,51.3012553,4.7292037,2024.0,153.0,,2.0,3.0,HYPER_EQUIPPED,0,0,1,14.0,0,0.0,0,0,AS_NEW,50.0,A,MISSING,0,,,left_only
60936,78250000,473284.0,APARTMENT,APARTMENT,Flanders,Antwerp,Antwerp,2650,,,,130.0,,,3.0,MISSING,0,0,1,37.0,0,0.0,0,1,MISSING,,MISSING,MISSING,0,,,left_only
60945,6016000,473725.0,HOUSE,HOUSE,Wallonia,Walloon Brabant,Nivelles,1350,50.7003283,4.9858348,2023.0,178.0,474.0,3.0,3.0,USA_HYPER_EQUIPPED,0,0,1,,1,474.0,0,1,AS_NEW,21.0,A+,MISSING,1,,,left_only
60955,12709000,474000.0,APARTMENT,APARTMENT,Flanders,West Flanders,Brugge,8301,51.3407674,3.23913,2024.0,78.0,,,2.0,INSTALLED,0,0,1,8.0,0,0.0,0,0,GOOD,0.0,MISSING,ELECTRIC,1,,,left_only
60960,31073000,474000.0,HOUSE,HOUSE,Flanders,Antwerp,Mechelen,2800,51.0067645,4.482661,1958.0,172.0,188.0,2.0,3.0,USA_HYPER_EQUIPPED,0,1,1,18.0,1,80.0,0,0,AS_NEW,74.0,A,GAS,1,727.0,,left_only
60967,14355000,474000.0,HOUSE,HOUSE,Flanders,Flemish Brabant,Leuven,3360,50.8269442,4.7790077,1964.0,269.0,4429.0,3.0,3.0,HYPER_EQUIPPED,0,0,1,,1,900.0,0,0,GOOD,235.0,C,FUELOIL,0,954.0,,left_only
60996,7152000,474980.0,HOUSE,HOUSE,Flanders,Flemish Brabant,Halle-Vilvoorde,1650,50.7276215,4.2969265,2024.0,162.0,450.0,3.0,3.0,USA_HYPER_EQUIPPED,0,0,1,,0,0.0,0,1,AS_NEW,17.0,A,MISSING,0,,,left_only
60997,15211000,475000.0,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1000,50.8484843,4.3410179,2007.0,145.0,,2.0,3.0,USA_SEMI_EQUIPPED,0,0,1,3.0,0,0.0,0,1,TO_BE_DONE_UP,100.0,C,MISSING,1,,,left_only
61018,11163000,475000.0,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1180,,,1935.0,125.0,,2.0,3.0,MISSING,0,1,0,0.0,1,150.0,0,1,MISSING,,MISSING,MISSING,1,1186.0,,left_only
61049,13465000,475000.0,APARTMENT,APARTMENT,Flanders,East Flanders,Oudenaarde,9700,50.8410579,3.6131813,,170.0,,4.0,3.0,MISSING,0,0,1,19.0,0,0.0,0,1,GOOD,,MISSING,MISSING,0,,,left_only
61055,33483000,475000.0,APARTMENT,APARTMENT,Flanders,Flemish Brabant,Leuven,3000,50.8864288,4.7037601,2023.0,115.0,,2.0,2.0,INSTALLED,0,1,1,9.0,0,0.0,0,0,MISSING,,MISSING,MISSING,1,,,left_only
61063,19669000,475000.0,APARTMENT,APARTMENT,Flanders,West Flanders,Brugge,8000,51.2206612,3.2189832,2023.0,97.0,,,2.0,MISSING,0,0,0,0.0,0,0.0,0,0,GOOD,30.0,A++,MISSING,1,,,left_only
61102,59596000,475000.0,APARTMENT,APARTMENT,Wallonia,Liège,Verviers,4802,50.5853408,5.8769295,,133.0,,,2.0,HYPER_EQUIPPED,0,0,0,0.0,0,0.0,0,1,MISSING,,A+,SOLAR,1,,,left_only
61113,13422000,475000.0,APARTMENT,APARTMENT,Wallonia,Luxembourg,Bastogne,6690,,,2023.0,,,4.0,2.0,INSTALLED,0,1,1,48.0,1,,0,1,MISSING,,A,MISSING,1,,,left_only
61162,52026000,475000.0,HOUSE,APARTMENT_BLOCK,Flanders,Flemish Brabant,Halle-Vilvoorde,1930,50.882096,4.4697814,,,1.0,3.0,3.0,SEMI_EQUIPPED,0,0,0,0.0,0,0.0,0,0,GOOD,159.0,B,GAS,1,2238.0,,left_only
61170,56853000,475000.0,HOUSE,COUNTRY_COTTAGE,Flanders,Flemish Brabant,Halle-Vilvoorde,1760,50.8471591,4.1008468,1775.0,340.0,640.0,4.0,4.0,HYPER_EQUIPPED,0,0,1,,0,0.0,0,0,MISSING,291.0,C,GAS,1,1083.0,,left_only
61178,27985000,475000.0,HOUSE,HOUSE,Brussels-Capital,Brussels,Brussels,1030,50.8761618,4.3885496,1932.0,203.0,65.0,2.0,4.0,USA_HYPER_EQUIPPED,0,0,1,8.0,0,0.0,0,1,GOOD,311.0,F,GAS,1,,,left_only
61224,68286000,475000.0,HOUSE,HOUSE,Flanders,East Flanders,Dendermonde,9220,51.0953247,4.1323492,2010.0,207.0,294.0,3.0,5.0,INSTALLED,0,0,1,20.0,1,170.0,0,1,AS_NEW,,B,GAS,1,,,left_only
61229,47595000,475000.0,HOUSE,HOUSE,Flanders,East Flanders,Dendermonde,9255,,,2023.0,269.0,500.0,,4.0,MISSING,0,0,0,0.0,0,0.0,0,0,GOOD,,A,MISSING,1,,,left_only
