,id_x,price,property_type,subproperty_type,region,province,locality,zip_code,latitude,longitude,construction_year,total_area_sqm,surface_land_sqm,nbr_frontages,nbr_bedrooms,equipped_kitchen,fl_furnished,fl_open_fire,fl_terrace,terrace_sqm,fl_garden,garden_sqm,fl_swimming_pool,fl_floodzone,state_building,primary_energy_consumption_sqm,epc,heating_type,fl_double_glazing,cadastral_income,id_y,_merge
18665,49959000,236500.0,APARTMENT,APARTMENT,Wallonia,Liège,Waremme,4280,,,,83.0,,3.0,2.0,MISSING,0,1,0,0.0,0,0.0,0,1,MISSING,,MISSING,GAS,1,,,left_only
18668,11278000,236547.0,APARTMENT,APARTMENT,Wallonia,Hainaut,Tournai,7500,50.6029651,3.3807481,,88.0,,,2.0,MISSING,0,0,1,,0,0.0,0,1,MISSING,,A,MISSING,1,,,left_only
18703,33609000,237000.0,HOUSE,HOUSE,Flanders,Antwerp,Turnhout,2340,51.3310583,4.7998491,,,0.0,3.0,3.0,INSTALLED,0,0,0,0.0,0,0.0,0,0,TO_RENOVATE,573.0,F,GAS,0,,,left_only
18714,71104000,237280.0,APARTMENT,APARTMENT,Flanders,West Flanders,Diksmuide,8610,51.0228704,3.0449328,,100.0,,,2.0,MISSING,0,0,1,6.0,0,0.0,0,0,GOOD,,MISSING,GAS,1,,,left_only
18722,53827000,237500.0,APARTMENT,APARTMENT,Flanders,East Flanders,Oudenaarde,9600,50.7406284,3.6009169,,91.0,,2.0,2.0,INSTALLED,0,1,1,11.0,0,0.0,0,1,GOOD,,MISSING,MISSING,1,,,left_only
18734,49298000,237500.0,APARTMENT,APARTMENT,Wallonia,Luxembourg,Neufchâteau,6800,49.9148598,5.3594923,2023.0,,,4.0,2.0,INSTALLED,0,0,1,12.0,0,0.0,0,1,AS_NEW,,MISSING,GAS,1,,,left_only
18735,26498000,237500.0,APARTMENT,APARTMENT,Wallonia,Luxembourg,Neufchâteau,6800,49.9148598,5.3594923,2023.0,,,,2.0,INSTALLED,0,0,1,9.0,0,0.0,0,1,AS_NEW,,MISSING,GAS,1,,,left_only
18736,54591000,237500.0,APARTMENT,APARTMENT,Wallonia,Luxembourg,Neufchâteau,6800,49.9148598,5.3594923,2023.0,,,,2.0,INSTALLED,0,0,1,10.0,0,0.0,0,1,AS_NEW,,MISSING,GAS,1,,,left_only
18751,28538000,237500.0,HOUSE,HOUSE,Wallonia,Hainaut,Ath,7800,50.6134401,3.7953082,2024.0,115.0,205.0,,3.0,INSTALLED,0,1,1,,0,0.0,0,1,MISSING,,MISSING,GAS,1,,,left_only
18781,45602000,238000.0,APARTMENT,APARTMENT,Wallonia,Hainaut,Charleroi,6180,,,,87.0,,2.0,2.0,HYPER_EQUIPPED,0,0,1,20.0,0,0.0,0,1,AS_NEW,,MISSING,ELECTRIC,1,,,left_only
18793,54202000,238000.0,HOUSE,HOUSE,Flanders,Antwerp,Antwerp,2610,51.1713358,4.397508,1950.0,110.0,130.0,2.0,2.0,INSTALLED,0,0,1,,0,0.0,0,1,TO_RENOVATE,,MISSING,GAS,0,,,left_only
18829,45331000,238500.0,HOUSE,HOUSE,Flanders,Limburg,Hasselt,3850,50.8767596,5.2403984,,86.0,0.0,3.0,1.0,INSTALLED,0,1,1,,0,0.0,0,0,JUST_RENOVATED,261.0,C,GAS,1,,,left_only
18830,56062000,238650.0,APARTMENT,APARTMENT,Wallonia,Hainaut,Charleroi,6230,50.5179766,4.3555015,2023.0,71.0,,,1.0,USA_INSTALLED,0,0,1,36.0,0,0.0,0,0,AS_NEW,108.0,B,GAS,1,,,left_only
18871,53372000,239000.0,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1080,50.86408,4.3436005,1980.0,93.0,,2.0,2.0,MISSING,0,0,0,0.0,0,0.0,0,0,GOOD,156.0,D,GAS,1,,,left_only
18879,76738000,239000.0,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1082,,,,102.0,,3.0,3.0,INSTALLED,0,0,1,11.0,0,0.0,0,1,MISSING,280.0,F,GAS,1,1472.0,,left_only
18886,14880000,239000.0,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1090,,,1956.0,80.0,,,1.0,HYPER_EQUIPPED,0,0,1,3.0,0,0.0,0,1,GOOD,206.0,D,GAS,1,996.0,,left_only
18900,56770000,239000.0,APARTMENT,APARTMENT,Flanders,Antwerp,Antwerp,2020,51.1925752,4.3924084,,78.0,,2.0,2.0,SEMI_EQUIPPED,0,1,0,0.0,1,100.0,0,1,GOOD,273.0,C,FUELOIL,1,,,left_only
18920,16966000,239000.0,APARTMENT,APARTMENT,Flanders,Antwerp,Antwerp,2140,51.2182014,4.4462058,2017.0,77.0,,2.0,2.0,HYPER_EQUIPPED,0,0,1,8.0,0,0.0,0,0,AS_NEW,56.0,A,MISSING,1,,,left_only
18934,2702000,239000.0,APARTMENT,APARTMENT,Flanders,Antwerp,Antwerp,2600,51.1940505,4.4201392,2023.0,57.0,,2.0,1.0,HYPER_EQUIPPED,0,0,1,32.0,0,0.0,0,0,AS_NEW,118.0,B,GAS,1,,,left_only
18955,45141000,239000.0,APARTMENT,APARTMENT,Flanders,Antwerp,Turnhout,2480,51.2395889,5.1312514,2012.0,90.0,,,2.0,SEMI_EQUIPPED,0,0,0,0.0,0,0.0,0,1,MISSING,120.0,B,GAS,1,,,left_only
18995,33133000,239000.0,APARTMENT,APARTMENT,Flanders,Limburg,Maaseik,3900,51.2096506,5.4221623,,82.0,,,2.0,MISSING,0,0,1,9.0,0,0.0,0,1,MISSING,,MISSING,ELECTRIC,1,,,left_only
19069,51486000,239000.0,APARTMENT,APARTMENT,Wallonia,Namur,Namur,5000,50.4449137,4.8741478,2022.0,86.0,,,2.0,USA_HYPER_EQUIPPED,0,0,1,5.0,0,0.0,0,1,AS_NEW,,MISSING,GAS,1,,,left_only
19086,58480000,239000.0,APARTMENT,DUPLEX,Flanders,East Flanders,Aalst,9300,50.9263351,4.0696449,1997.0,95.0,,2.0,2.0,INSTALLED,0,0,1,4.0,0,0.0,0,1,AS_NEW,144.0,B,GAS,1,,,left_only
19098,42019000,239000.0,APARTMENT,GROUND_FLOOR,Flanders,Antwerp,Antwerp,2100,51.2187982,4.4807922,1991.0,92.0,,,2.0,USA_INSTALLED,0,0,1,,1,33.0,0,0,GOOD,489.0,E,ELECTRIC,1,1043.0,,left_only
19123,11791000,239000.0,APARTMENT,SERVICE_FLAT,Flanders,Antwerp,Antwerp,2018,51.2041256,4.4096794,,62.0,,,1.0,MISSING,0,0,0,0.0,0,0.0,0,1,AS_NEW,67.0,A,MISSING,0,,,left_only
19125,33334000,239000.0,APARTMENT,SERVICE_FLAT,Flanders,Flemish Brabant,Leuven,3300,50.8118216,4.9287135,2014.0,40.0,,,1.0,MISSING,0,0,0,0.0,0,0.0,0,0,GOOD,115.0,B,MISSING,0,1172.0,,left_only
19139,59662000,239000.0,HOUSE,BUNGALOW,Flanders,West Flanders,Diksmuide,8650,50.9811887,2.9431102,1968.0,112.0,700.0,,2.0,INSTALLED,0,0,0,0.0,0,0.0,0,0,TO_BE_DONE_UP,954.0,F,GAS,1,478.0,,left_only
19158,61648000,239000.0,HOUSE,HOUSE,Flanders,Antwerp,Antwerp,2650,51.1557688,4.4367125,1899.0,131.0,0.0,3.0,3.0,MISSING,0,0,0,0.0,1,104.0,0,0,TO_RENOVATE,1141.0,F,MISSING,0,327.0,,left_only
19203,31799000,239000.0,HOUSE,HOUSE,Flanders,East Flanders,Oudenaarde,9600,50.7454745,3.5930671,1935.0,230.0,210.0,2.0,4.0,SEMI_EQUIPPED,0,0,1,15.0,1,75.0,0,0,GOOD,360.0,D,FUELOIL,1,803.0,,left_only
19206,20999000,239000.0,HOUSE,HOUSE,Flanders,East Flanders,Sint-Niklaas,9100,51.166929,4.1294632,1932.0,141.0,101.0,,3.0,MISSING,0,0,0,0.0,0,0.0,0,0,MISSING,191.0,B,MISSING,0,354.0,,left_only
19208,56665000,239000.0,HOUSE,HOUSE,Flanders,East Flanders,Sint-Niklaas,9140,51.1265694,4.2049424,,124.0,110.0,2.0,2.0,INSTALLED,0,1,0,0.0,1,43.0,0,0,GOOD,459.0,E,GAS,1,233.0,,left_only
19211,50363000,239000.0,HOUSE,HOUSE,Flanders,East Flanders,Sint-Niklaas,9150,51.1667455,4.3105178,,136.0,140.0,3.0,3.0,INSTALLED,0,0,0,0.0,0,0.0,0,1,GOOD,765.0,F,MISSING,1,376.0,,left_only
19271,11974000,239000.0,HOUSE,HOUSE,Flanders,West Flanders,Veurne,8620,51.1314526,2.7509033,2016.0,,0.0,,1.0,MISSING,0,0,1,,0,0.0,0,1,MISSING,0.0,MISSING,MISSING,0,,,left_only
19302,29689000,239000.0,HOUSE,HOUSE,Wallonia,Liège,Huy,4500,50.5140798,5.2353482,,225.0,816.0,3.0,4.0,MISSING,0,0,1,12.0,0,0.0,0,1,GOOD,320.0,D,WOOD,1,,,left_only
19308,3783000,239000.0,HOUSE,HOUSE,Wallonia,Liège,Liège,4000,,,,,0.0,2.0,3.0,INSTALLED,0,0,1,,0,0.0,0,0,GOOD,338.0,D,MISSING,1,607.0,,left_only
19321,77313000,239000.0,HOUSE,HOUSE,Wallonia,Liège,Liège,4420,50.6289494,5.532366,,151.0,205.0,3.0,3.0,INSTALLED,0,0,1,50.0,0,0.0,0,0,AS_NEW,304.0,D,GAS,0,951.0,,left_only
19326,45568000,239000.0,HOUSE,HOUSE,Wallonia,Liège,Liège,4432,50.6987777,5.4867373,1975.0,129.0,496.0,3.0,2.0,USA_INSTALLED,0,0,1,,0,0.0,0,0,GOOD,442.0,F,FUELOIL,0,723.0,,left_only
19345,1918000,239000.0,HOUSE,HOUSE,Wallonia,Namur,Dinant,5570,50.1003926,4.9059609,1960.0,180.0,301.0,2.0,3.0,INSTALLED,0,0,1,5.0,1,200.0,0,0,AS_NEW,185.0,C,FUELOIL,1,,,left_only
19347,32646000,239000.0,HOUSE,HOUSE,Wallonia,Namur,Dinant,5580,50.156444,5.2202137,,152.0,367.0,3.0,4.0,MISSING,0,0,1,27.0,1,257.0,0,1,GOOD,285.0,D,FUELOIL,1,639.0,,left_only
19378,1545000,239000.0,HOUSE,VILLA,Wallonia,Hainaut,Charleroi,6280,,,,,0.0,4.0,3.0,MISSING,0,0,0,0.0,0,0.0,0,1,TO_RENOVATE,509.0,F,MISSING,0,,,left_only
19403,74394000,239500.0,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1180,50.7991665,4.3212311,1969.0,75.0,,,2.0,INSTALLED,0,1,1,7.0,0,0.0,0,1,GOOD,96.0,C,GAS,1,,,left_only
19465,36653000,239900.0,APARTMENT,APARTMENT,Wallonia,Luxembourg,Bastogne,6640,49.9121568,5.5725311,2024.0,97.0,,,2.0,NOT_INSTALLED,0,0,1,10.0,0,0.0,0,0,AS_NEW,,MISSING,MISSING,0,,,left_only
19466,39679000,239900.0,APARTMENT,APARTMENT,Wallonia,Luxembourg,Bastogne,6640,49.9121568,5.5725311,2024.0,101.0,,,2.0,NOT_INSTALLED,0,0,1,14.0,0,0.0,0,0,AS_NEW,,MISSING,MISSING,0,,,left_only
19473,18246000,239900.0,APARTMENT,APARTMENT,Wallonia,Luxembourg,Neufchâteau,6880,49.8672169,5.2504373,2023.0,97.0,,,2.0,MISSING,0,0,1,,0,0.0,0,0,MISSING,110.0,B,GAS,1,,,left_only
19494,51956000,240000.0,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1020,,,,80.0,,,2.0,HYPER_EQUIPPED,0,0,1,3.0,0,0.0,0,1,AS_NEW,,MISSING,GAS,1,,,left_only
19532,67970000,240000.0,APARTMENT,APARTMENT,Flanders,Antwerp,Antwerp,2170,51.2435809,4.4480773,2023.0,98.0,,2.0,2.0,INSTALLED,0,1,1,12.0,0,0.0,0,0,MISSING,41.0,A,MISSING,1,,,left_only
19565,75975000,240000.0,APARTMENT,APARTMENT,Flanders,Flemish Brabant,Halle-Vilvoorde,1800,50.9301952,4.4344416,,68.0,,,2.0,MISSING,0,0,0,0.0,0,0.0,0,0,MISSING,469.0,E,MISSING,1,,,left_only
19576,67822000,240000.0,APARTMENT,APARTMENT,Flanders,Limburg,Hasselt,3800,50.8088006,5.1819276,1983.0,94.0,,2.0,3.0,INSTALLED,0,1,0,0.0,0,0.0,0,1,GOOD,327.0,D,GAS,1,1154.0,,left_only
19597,6594000,240000.0,APARTMENT,APARTMENT,Flanders,West Flanders,Oostend,8450,51.2346375,2.9742079,2023.0,,,,2.0,MISSING,0,0,1,5.0,0,0.0,0,0,GOOD,0.0,MISSING,MISSING,0,,,left_only
19613,15299000,240000.0,APARTMENT,APARTMENT,Wallonia,Hainaut,Tournai,7500,,,,150.0,,,2.0,INSTALLED,0,0,1,,0,0.0,0,0,GOOD,141.0,B,GAS,1,1518.0,,left_only
19644,53265000,240000.0,APARTMENT,DUPLEX,Brussels-Capital,Brussels,Brussels,1080,50.846484,4.2916325,1939.0,170.0,,2.0,5.0,INSTALLED,0,0,1,5.0,0,0.0,0,1,TO_RENOVATE,425.0,G,GAS,1,,,left_only
19663,66561000,240000.0,APARTMENT,KOT,Flanders,Flemish Brabant,Leuven,3000,50.8813275,4.7095351,2023.0,20.0,,,0.0,MISSING,0,0,0,0.0,0,0.0,0,0,GOOD,,MISSING,MISSING,0,,,left_only
19673,52052000,240000.0,HOUSE,APARTMENT_BLOCK,Wallonia,Liège,Waremme,4347,50.65353,5.4435915,2023.0,,0.0,4.0,2.0,INSTALLED,0,0,1,,0,0.0,0,1,AS_NEW,,MISSING,GAS,1,,,left_only
19680,19801000,240000.0,HOUSE,HOUSE,Brussels-Capital,Brussels,Brussels,1120,50.8929456,4.3820317,,200.0,0.0,3.0,3.0,MISSING,0,0,0,0.0,1,1.0,0,1,TO_RENOVATE,597.0,G,MISSING,0,,,left_only
19716,21176000,240000.0,HOUSE,HOUSE,Flanders,West Flanders,Oostend,8450,51.2511301,2.9882457,2000.0,85.0,219.0,4.0,3.0,MISSING,1,0,1,,0,0.0,1,1,GOOD,632.0,F,MISSING,0,,,left_only
19728,4271000,240000.0,HOUSE,HOUSE,Wallonia,Hainaut,Charleroi,6220,50.4760915,4.5481145,,150.0,570.0,2.0,3.0,MISSING,0,0,1,,0,0.0,0,1,JUST_RENOVATED,282.0,D,MISSING,0,560.0,,left_only
19764,29843000,240000.0,HOUSE,HOUSE,Wallonia,Namur,Dinant,5555,,,2022.0,120.0,307.0,3.0,3.0,NOT_INSTALLED,0,0,1,25.0,1,210.0,0,0,AS_NEW,,MISSING,GAS,1,,,left_only
19801,42307000,240455.0,APARTMENT,APARTMENT,Wallonia,Hainaut,Mons,7333,50.4669516,3.805533,2022.0,97.0,,,2.0,NOT_INSTALLED,0,0,1,31.0,0,0.0,0,1,AS_NEW,76.0,A,GAS,1,,,left_only
19879,44686000,242054.0,APARTMENT,APARTMENT,Flanders,Limburg,Tongeren,3700,50.7901203,5.4808619,,76.0,,,1.0,MISSING,0,0,1,18.0,0,0.0,0,1,MISSING,,MISSING,MISSING,0,,,left_only
19885,1748000,242200.0,APARTMENT,APARTMENT,Wallonia,Liège,Liège,4430,50.6572266,5.547423,2021.0,98.0,,,2.0,MISSING,0,0,1,5.0,0,0.0,0,1,AS_NEW,,MISSING,MISSING,1,,,left_only
19936,78704000,243500.0,APARTMENT,APARTMENT,Flanders,Antwerp,Antwerp,2100,51.2201641,4.464671,,68.0,,2.0,1.0,MISSING,0,0,0,0.0,1,61.0,0,1,GOOD,,MISSING,GAS,1,1.0,,left_only
19965,46696000,244000.0,APARTMENT,APARTMENT,Flanders,East Flanders,Gent,9050,51.0339941,3.7374986,1964.0,113.0,,,2.0,MISSING,0,0,0,0.0,0,0.0,0,0,TO_BE_DONE_UP,188.0,B,GAS,1,,,left_only
20012,44030000,244447.0,APARTMENT,APARTMENT,Flanders,Limburg,Hasselt,3945,51.0847362,5.1084893,2024.0,81.0,,2.0,1.0,USA_HYPER_EQUIPPED,0,0,1,15.0,1,61.0,0,1,MISSING,,MISSING,MISSING,1,,,left_only
20095,46201000,245000.0,APARTMENT,APARTMENT,Flanders,Antwerp,Antwerp,2140,51.209232,4.4481263,,85.0,,2.0,2.0,MISSING,0,0,1,,0,0.0,0,1,JUST_RENOVATED,128.0,B,MISSING,0,,,left_only
20107,53523000,245000.0,APARTMENT,APARTMENT,Flanders,Antwerp,Antwerp,2600,51.1837138,4.4379335,,98.0,,2.0,2.0,SEMI_EQUIPPED,0,1,1,8.0,0,0.0,0,1,GOOD,165.0,B,GAS,1,,,left_only
20133,13047000,245000.0,APARTMENT,APARTMENT,Flanders,Antwerp,Turnhout,2340,51.3191981,4.84867,2012.0,107.0,,2.0,3.0,INSTALLED,0,0,1,6.0,0,0.0,0,0,GOOD,79.0,A,GAS,1,,,left_only
20144,11005000,245000.0,APARTMENT,APARTMENT,Flanders,East Flanders,Gent,9000,51.0340716,3.7085203,,59.0,,2.0,1.0,SEMI_EQUIPPED,0,0,0,0.0,0,0.0,0,1,MISSING,197.0,B,MISSING,1,,,left_only
20204,11049000,245000.0,APARTMENT,APARTMENT,Flanders,West Flanders,Kortrijk,8587,50.7321442,3.3813554,2021.0,117.0,,,2.0,INSTALLED,0,0,1,7.0,0,0.0,0,1,MISSING,0.0,MISSING,GAS,1,,,left_only
20244,41669000,245000.0,APARTMENT,APARTMENT,Wallonia,Hainaut,Charleroi,7181,,,,79.0,,4.0,1.0,INSTALLED,0,0,1,13.0,1,12.0,0,1,AS_NEW,,MISSING,GAS,1,,,left_only
20256,30150000,245000.0,APARTMENT,APARTMENT,Wallonia,Hainaut,Tournai,7640,,,2023.0,94.0,,2.0,2.0,INSTALLED,0,0,1,9.0,0,0.0,0,1,AS_NEW,,MISSING,MISSING,1,,,left_only
20292,34693000,245000.0,APARTMENT,APARTMENT,Wallonia,Walloon Brabant,Nivelles,1400,,,,79.0,,4.0,1.0,INSTALLED,0,0,1,13.0,1,12.0,0,1,AS_NEW,,MISSING,GAS,1,,,left_only
20297,77807000,245000.0,APARTMENT,DUPLEX,Brussels-Capital,Brussels,Brussels,1040,,,,75.0,,2.0,2.0,MISSING,0,0,1,3.0,0,0.0,0,1,TO_BE_DONE_UP,942.0,G,GAS,1,,,left_only
20329,17227000,245000.0,APARTMENT,GROUND_FLOOR,Flanders,Antwerp,Mechelen,2800,51.016192,4.4978875,2001.0,90.0,,2.0,2.0,INSTALLED,0,0,1,30.0,0,0.0,0,0,MISSING,221.0,C,GAS,1,897.0,,left_only
20351,59149000,245000.0,APARTMENT,PENTHOUSE,Brussels-Capital,Brussels,Brussels,1080,50.8511353,4.311824,1976.0,121.0,,2.0,3.0,MISSING,0,1,1,60.0,0,0.0,0,1,TO_BE_DONE_UP,283.0,F,GAS,1,2206.0,,left_only
20391,71237000,245000.0,HOUSE,HOUSE,Flanders,Antwerp,Turnhout,2200,51.1382477,4.8412386,1965.0,106.0,324.0,,3.0,MISSING,0,0,0,0.0,0,0.0,0,0,TO_RENOVATE,709.0,F,GAS,1,,,left_only
20400,17522000,245000.0,HOUSE,HOUSE,Flanders,Antwerp,Turnhout,2360,51.3365158,4.968346,1950.0,110.0,884.0,3.0,3.0,SEMI_EQUIPPED,0,0,1,,0,0.0,0,0,MISSING,486.0,E,GAS,1,512.0,,left_only
20424,58242000,245000.0,HOUSE,HOUSE,Flanders,East Flanders,Oudenaarde,9600,50.741809,3.6076012,1948.0,146.0,250.0,2.0,4.0,INSTALLED,0,0,1,13.0,1,161.0,0,0,GOOD,225.0,C,GAS,1,610.0,,left_only
20434,31813000,245000.0,HOUSE,HOUSE,Flanders,Flemish Brabant,Halle-Vilvoorde,1730,50.9337946,4.2240894,,,575.0,3.0,0.0,MISSING,0,0,0,0.0,0,0.0,0,0,MISSING,544.0,F,MISSING,0,292.0,,left_only
20471,16900000,245000.0,HOUSE,HOUSE,Flanders,West Flanders,Oostend,8400,51.224935,2.9121733,1875.0,155.0,0.0,,3.0,MISSING,0,0,0,0.0,0,0.0,0,0,MISSING,199.0,B,GAS,1,,,left_only
20488,50428000,245000.0,HOUSE,HOUSE,Wallonia,Hainaut,Mouscron,7700,,,,222.0,488.0,2.0,5.0,NOT_INSTALLED,0,1,1,12.0,0,0.0,0,1,MISSING,191.0,C,MISSING,1,964.0,,left_only
20496,45631000,245000.0,HOUSE,HOUSE,Wallonia,Hainaut,Tournai,7640,50.5554074,3.4531132,,145.0,1710.0,3.0,4.0,SEMI_EQUIPPED,0,1,0,0.0,0,0.0,0,1,TO_BE_DONE_UP,470.0,F,GAS,1,355.0,,left_only
20530,32956000,245000.0,HOUSE,HOUSE,Wallonia,Namur,Dinant,5530,50.3194071,4.9129566,,102.0,253.0,2.0,2.0,INSTALLED,0,0,1,,1,253.0,0,1,AS_NEW,353.0,E,FUELOIL,1,493.0,,left_only
20536,76059000,245000.0,HOUSE,HOUSE,Wallonia,Namur,Dinant,5590,,,1920.0,175.0,154.0,3.0,4.0,HYPER_EQUIPPED,0,0,1,112.0,0,0.0,0,1,JUST_RENOVATED,551.0,G,FUELOIL,1,508.0,,left_only
20545,68046000,245000.0,HOUSE,HOUSE,Wallonia,Walloon Brabant,Nivelles,1300,50.7177173,4.6036373,,110.0,150.0,2.0,3.0,SEMI_EQUIPPED,0,1,1,20.0,0,0.0,0,0,MISSING,430.0,F,GAS,1,,,left_only
20555,44497000,245000.0,HOUSE,MIXED_USE_BUILDING,Wallonia,Hainaut,Thuin,6150,50.4052206,4.2600036,,153.0,6.0,2.0,3.0,SEMI_EQUIPPED,0,0,0,0.0,0,0.0,0,1,TO_BE_DONE_UP,605.0,G,GAS,0,743.0,,left_only
20562,14434000,245000.0,HOUSE,TOWN_HOUSE,Wallonia,Liège,Liège,4690,50.7675027,5.6338929,1980.0,,360.0,3.0,3.0,INSTALLED,0,0,1,6.0,1,360.0,0,1,GOOD,363.0,E,FUELOIL,0,580.0,,left_only
20567,24194000,245000.0,HOUSE,VILLA,Wallonia,Namur,Namur,5640,50.34597,4.7407,1978.0,,936.0,4.0,3.0,MISSING,0,0,0,0.0,0,0.0,0,1,MISSING,282.0,D,FUELOIL,1,775.0,,left_only
20570,47183000,245065.0,APARTMENT,APARTMENT,Flanders,Flemish Brabant,Leuven,3270,50.9815445,4.9762385,,88.0,,,1.0,MISSING,0,0,0,0.0,0,0.0,0,1,MISSING,,MISSING,MISSING,0,,,left_only
20581,47415000,245500.0,APARTMENT,APARTMENT,Wallonia,Liège,Verviers,4800,50.5912006,5.8349894,2024.0,102.0,,,2.0,MISSING,0,1,1,9.0,0,0.0,0,1,MISSING,,MISSING,MISSING,1,,,left_only
20614,404000,246300.0,APARTMENT,APARTMENT,Flanders,Limburg,Tongeren,3630,50.9472676,5.6824108,,135.0,,4.0,2.0,MISSING,0,0,1,,0,0.0,0,1,AS_NEW,157.0,B,MISSING,0,,,left_only
20653,23783000,247000.0,APARTMENT,APARTMENT,Wallonia,Hainaut,Tournai,7500,50.6090349,3.4039139,,80.0,,,2.0,MISSING,0,0,1,12.0,1,30.0,0,1,AS_NEW,,MISSING,MISSING,0,,,left_only
20673,35029000,247220.0,APARTMENT,APARTMENT,Flanders,West Flanders,Kortrijk,8570,50.8356315,3.4048308,2024.0,94.0,,,1.0,INSTALLED,0,1,1,17.0,0,0.0,0,1,MISSING,,MISSING,GAS,1,,,left_only
20697,26268000,247500.0,APARTMENT,APARTMENT,Flanders,Flemish Brabant,Halle-Vilvoorde,1820,50.9180018,4.4795049,,60.0,,2.0,1.0,MISSING,0,0,1,,0,0.0,0,1,AS_NEW,93.0,A,MISSING,0,,,left_only
20713,46254000,247500.0,APARTMENT,APARTMENT,Wallonia,Luxembourg,Neufchâteau,6800,49.9148598,5.3594923,2023.0,,,4.0,2.0,INSTALLED,0,0,1,9.0,0,0.0,0,1,AS_NEW,,MISSING,GAS,1,,,left_only
20719,67994000,247500.0,HOUSE,HOUSE,Flanders,East Flanders,Oudenaarde,9700,50.8081855,3.5472898,1960.0,122.0,0.0,3.0,3.0,MISSING,0,0,1,,0,0.0,0,1,TO_RENOVATE,1311.0,F,MISSING,0,,,left_only
20734,57666000,248000.0,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1090,50.8928405,4.313673,1978.0,90.0,,2.0,3.0,SEMI_EQUIPPED,0,1,1,23.0,0,0.0,0,1,GOOD,183.0,D,GAS,1,1549.0,,left_only
20745,37690000,248000.0,APARTMENT,APARTMENT,Flanders,Antwerp,Antwerp,2140,51.1977457,4.4490929,1969.0,96.0,,,2.0,HYPER_EQUIPPED,0,0,0,0.0,0,0.0,0,0,MISSING,129.0,B,GAS,0,,,left_only
20758,15374000,248000.0,APARTMENT,APARTMENT,Flanders,Flemish Brabant,Leuven,3000,50.868733,4.697385,1975.0,35.0,,,0.0,MISSING,0,0,1,6.0,0,0.0,0,1,AS_NEW,183.0,B,GAS,1,666.0,,left_only
20898,2656000,249000.0,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1080,,,,95.0,,2.0,3.0,HYPER_EQUIPPED,0,0,1,1.0,0,0.0,0,1,MISSING,314.0,F,GAS,0,,,left_only
20908,68971000,249000.0,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1083,,,,100.0,,4.0,3.0,INSTALLED,0,0,1,10.0,0,0.0,0,1,MISSING,27.0,A,GAS,1,,,left_only
20920,56527000,249000.0,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1150,50.8275748,4.4166673,1965.0,60.0,,4.0,1.0,USA_INSTALLED,0,0,1,9.0,0,0.0,0,0,GOOD,242.0,E,GAS,0,,,left_only
20927,4853000,249000.0,APARTMENT,APARTMENT,Flanders,Antwerp,Antwerp,2000,51.2105139,4.3939821,1930.0,64.0,,2.0,1.0,MISSING,0,0,0,0.0,0,0.0,0,0,MISSING,304.0,D,GAS,1,396.0,,left_only
20930,58815000,249000.0,APARTMENT,APARTMENT,Flanders,Antwerp,Antwerp,2000,51.2221187,4.40307,2013.0,47.0,,2.0,1.0,USA_SEMI_EQUIPPED,0,0,1,30.0,0,0.0,0,0,GOOD,162.0,B,GAS,0,,,left_only
20964,58311000,249000.0,APARTMENT,APARTMENT,Flanders,Antwerp,Antwerp,2170,51.2554827,4.4366329,1965.0,82.0,,2.0,2.0,MISSING,0,1,1,7.0,0,0.0,0,1,MISSING,112.0,B,GAS,1,704.0,,left_only
20974,12139000,249000.0,APARTMENT,APARTMENT,Flanders,Antwerp,Antwerp,2550,51.1344225,4.4707272,1967.0,70.0,,3.0,2.0,INSTALLED,0,1,0,0.0,1,160.0,0,0,GOOD,261.0,C,GAS,1,695.0,,left_only
20976,67764000,249000.0,APARTMENT,APARTMENT,Flanders,Antwerp,Antwerp,2600,51.1784224,4.4309457,1951.0,78.0,,2.0,2.0,INSTALLED,0,0,1,8.0,0,0.0,0,0,GOOD,152.0,B,GAS,0,,,left_only
20991,33827000,249000.0,APARTMENT,APARTMENT,Flanders,Antwerp,Antwerp,2640,51.1687953,4.4509328,1970.0,100.0,,3.0,2.0,USA_HYPER_EQUIPPED,0,0,1,,0,0.0,0,0,GOOD,288.0,C,GAS,1,,,left_only
20997,46875000,249000.0,APARTMENT,APARTMENT,Flanders,Antwerp,Mechelen,2500,51.1241793,4.5545462,2020.0,66.0,,2.0,1.0,INSTALLED,0,1,1,8.0,1,,0,0,AS_NEW,40.0,A,GAS,1,,,left_only
21000,26984000,249000.0,APARTMENT,APARTMENT,Flanders,Antwerp,Mechelen,2500,51.1364386,4.5728352,2002.0,75.0,,,1.0,MISSING,0,0,0,0.0,0,0.0,0,0,GOOD,137.0,B,GAS,1,1008.0,,left_only
